game_date,away_team,home_team,away_pitcher,home_pitcher
2025-06-06,Marlins,Rays,Edward Cabrera,Zack Littell
2025-06-06,Phillies,Pirates,Joe Ross,Bailey Falter
2025-06-06,Rangers,Nationals,Patrick Corbin,Michael Soroka
2025-06-06,Red Sox,Yankees,Walker Buehler,Will Warren
2025-06-06,Astros,Guardians,Colton Gordon,Logan Allen
2025-06-06,D-backs,Reds,Eduardo Rodriguez,Nick Lodolo
2025-06-06,Cubs,Tigers,Ben Brown,Tarik Skubal
2025-06-06,Royals,White Sox,Seth Lugo,Davis Martin
2025-06-06,Blue Jays,Twins,Paxton Schultz,Bailey Ober
2025-06-06,Padres,Brewers,Randy Vásquez,Chad Patrick
2025-06-06,Dodgers,Cardinals,Justin Wrobleski,Sonny Gray
2025-06-06,Mets,Rockies,Kodai Senga,Ryan Rolison
2025-06-06,Mariners,Angels,Bryce Miller,Kyle Hendricks
2025-06-06,Orioles,Athletics,Dean Kremer,JP Sears
2025-06-06,Braves,Giants,Spencer Schwellenbach,Hayden Birdsong
