team,wins,losses,run_diff,streak,games_played,win_pct
NYY,92,64,147,W3,156,.590
BAL,86,70,76,L2,156,.551
BOS,78,78,9,W2,156,.500
TB,78,78,-55,W4,156,.500
TOR,73,83,-54,L3,156,.468
CLE,90,67,83,L2,157,.573
DET,82,74,37,W2,156,.526
KC,82,74,86,L7,156,.526
MIN,81,75,23,L2,156,.519
CWS,36,120,-320,L5,156,.231
HOU,85,71,98,L1,156,.545
SEA,80,76,53,L1,156,.513
TEX,74,82,-69,W1,156,.474
OAK,67,89,-114,L3,156,.429
LAA,63,93,-141,W1,156,.404
PHI,92,64,120,L2,156,.590
NYM,87,69,82,W2,156,.558
ATL,85,71,89,W2,156,.545
WSH,69,87,-105,L1,156,.442
MIA,57,99,-223,L2,156,.365
MIL,89,67,124,W1,156,.571
CHC,80,76,67,W1,156,.513
STL,79,77,-59,W2,156,.506
CIN,76,81,14,L1,157,.484
PIT,73,83,-72,W1,156,.468
LAD,93,63,133,W1,156,.596
SD,90,66,97,W4,156,.577
ARI,87,69,104,L1,156,.558
SF,77,79,-7,W3,156,.494
COL,60,96,-223,L1,156,.385
